"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 11, 2021","110.34","111.14","111.40","110.28","4.60M","-0.76%"
"Oct 08, 2021","111.18","111.05","111.75","110.64","5.02M","0.28%"
"Oct 07, 2021","110.87","109.78","111.79","109.56","7.81M","1.42%"
"Oct 06, 2021","109.32","109.30","109.67","108.15","5.66M","-0.17%"
"Oct 05, 2021","109.51","109.39","110.58","109.10","7.15M","0.72%"
"Oct 04, 2021","108.73","108.84","110.20","107.69","6.81M","-0.33%"
"Oct 01, 2021","109.09","108.25","109.69","106.87","8.61M","1.13%"
"Sep 30, 2021","107.87","109.20","110.42","107.78","7.60M","-0.89%"
"Sep 29, 2021","108.84","107.85","109.58","107.47","6.26M","1.40%"
"Sep 28, 2021","107.34","107.62","108.62","107.04","6.23M","-0.35%"
"Sep 27, 2021","107.72","107.13","108.64","107.02","4.96M","0.61%"
"Sep 24, 2021","107.07","106.87","108.05","106.44","5.84M","-0.27%"
"Sep 23, 2021","107.36","106.99","108.27","106.65","5.84M","0.89%"
"Sep 22, 2021","106.41","107.01","107.58","105.93","6.31M","-0.69%"
"Sep 21, 2021","107.15","106.25","107.41","106.20","6.38M","0.70%"
"Sep 20, 2021","106.40","106.10","107.49","105.56","6.93M","-1.23%"
"Sep 17, 2021","107.73","107.50","108.25","107.10","14.17M","-0.32%"
"Sep 16, 2021","108.08","108.24","108.75","106.53","5.82M","0.29%"
"Sep 15, 2021","107.77","106.59","108.80","106.03","7.44M","1.21%"
"Sep 14, 2021","106.48","107.99","108.07","106.25","6.08M","-0.93%"
"Sep 13, 2021","107.48","107.39","108.77","106.81","7.38M","0.75%"
"Sep 10, 2021","106.68","107.48","108.32","106.36","7.62M","-0.55%"
"Sep 09, 2021","107.27","109.44","109.74","107.20","10.26M","-2.80%"
"Sep 08, 2021","110.36","108.06","110.90","107.72","10.77M","1.22%"
"Sep 07, 2021","109.03","110.45","111.57","108.32","11.68M","-2.32%"
"Sep 03, 2021","111.62","111.18","112.07","111.02","5.37M","-0.36%"
"Sep 02, 2021","112.02","113.55","113.74","110.82","14.71M","-0.22%"
"Sep 01, 2021","112.27","121.00","121.53","106.10","50.73M","-7.05%"
"Aug 31, 2021","120.78","120.83","121.17","120.03","5.95M","0.17%"
"Aug 30, 2021","120.57","119.84","120.90","119.54","3.25M","0.83%"
"Aug 27, 2021","119.58","120.34","120.64","119.42","4.28M","-0.68%"
"Aug 26, 2021","120.40","120.86","121.25","120.15","5.03M","0.00%"
"Aug 25, 2021","120.40","119.86","121.40","118.87","5.19M","0.60%"
"Aug 24, 2021","119.68","119.72","119.72","118.42","3.51M","0.27%"
"Aug 23, 2021","119.36","119.80","120.45","119.22","4.62M","0.45%"
"Aug 20, 2021","118.82","118.10","119.47","117.65","4.11M","0.75%"
"Aug 19, 2021","117.93","116.21","118.96","116.21","6.14M","0.55%"
"Aug 18, 2021","117.29","119.17","119.92","117.18","5.22M","-1.98%"
"Aug 17, 2021","119.66","118.08","119.74","118.00","6.53M","1.06%"
"Aug 16, 2021","118.41","117.00","118.62","116.71","8.11M","1.66%"
"Aug 13, 2021","116.48","115.82","116.76","115.70","4.42M","0.73%"
"Aug 12, 2021","115.64","113.96","115.73","113.91","4.85M","1.69%"
"Aug 11, 2021","113.72","115.16","115.34","113.54","6.81M","-0.96%"
"Aug 10, 2021","114.82","114.18","115.02","113.02","5.12M","0.67%"
"Aug 09, 2021","114.06","114.72","115.18","113.75","5.28M","-0.34%"
"Aug 06, 2021","114.45","115.26","115.55","114.43","5.34M","-0.58%"
"Aug 05, 2021","115.12","115.16","115.51","114.47","5.13M","0.03%"
"Aug 04, 2021","115.08","115.78","116.51","114.92","4.60M","-1.01%"
"Aug 03, 2021","116.25","115.74","116.26","114.91","5.90M","0.69%"
"Aug 02, 2021","115.45","116.63","117.23","115.45","9.25M","-0.73%"
"Jul 30, 2021","116.30","119.00","119.15","116.12","9.02M","-2.16%"
"Jul 29, 2021","118.87","119.11","119.11","118.15","4.63M","0.27%"
"Jul 28, 2021","118.55","117.74","118.92","117.38","5.65M","0.50%"
"Jul 27, 2021","117.96","117.61","118.30","116.80","3.77M","0.14%"
"Jul 26, 2021","117.79","118.05","118.44","117.27","3.73M","-0.34%"
"Jul 23, 2021","118.19","117.98","118.67","117.57","4.41M","0.55%"
"Jul 22, 2021","117.54","116.64","117.91","116.39","6.26M","0.47%"
"Jul 21, 2021","116.99","116.64","117.07","115.79","4.13M","0.81%"
"Jul 20, 2021","116.05","115.55","117.73","115.46","5.58M","0.55%"
"Jul 19, 2021","115.42","116.67","117.00","113.74","6.76M","-1.77%"
"Jul 16, 2021","117.50","117.91","118.33","116.92","6.83M","0.27%"
"Jul 15, 2021","117.18","116.93","117.48","115.83","4.54M","-0.15%"
"Jul 14, 2021","117.36","116.98","117.48","116.39","6.54M","-0.47%"
"Jul 13, 2021","117.91","117.78","118.07","116.70","6.54M","0.24%"
"Jul 12, 2021","117.63","116.80","118.32","116.67","8.15M","0.90%"
"Jul 09, 2021","116.58","116.30","117.32","116.11","4.82M","0.20%"
"Jul 08, 2021","116.35","115.81","116.80","115.69","3.95M","-0.34%"
"Jul 07, 2021","116.75","115.91","116.94","115.33","6.70M","0.88%"
"Jul 06, 2021","115.73","115.32","115.89","114.81","7.17M","0.49%"
"Jul 02, 2021","115.17","114.52","115.49","113.89","5.72M","0.80%"
"Jul 01, 2021","114.26","112.93","114.55","112.90","5.31M","1.44%"
"Jun 30, 2021","112.64","112.20","112.91","111.63","5.04M","0.30%"
"Jun 29, 2021","112.30","112.65","112.75","111.61","5.80M","-0.62%"
"Jun 28, 2021","113.00","113.29","114.09","112.86","5.14M","0.02%"
"Jun 25, 2021","112.98","112.90","113.59","112.14","11.71M","-1.53%"
"Jun 24, 2021","114.74","114.32","116.18","114.30","7.71M","0.65%"
"Jun 23, 2021","114.00","114.57","115.01","113.96","3.84M","-0.61%"
"Jun 22, 2021","114.70","114.61","115.26","113.89","4.36M","-0.03%"
"Jun 21, 2021","114.73","113.69","115.25","112.77","4.67M","1.42%"
"Jun 18, 2021","113.12","113.64","114.20","113.05","7.42M","-1.55%"
"Jun 17, 2021","114.90","114.98","115.89","114.03","4.17M","-0.55%"
"Jun 16, 2021","115.53","116.22","116.53","115.17","6.67M","-0.26%"
"Jun 15, 2021","115.83","115.36","115.94","114.52","3.59M","0.37%"
"Jun 14, 2021","115.40","115.07","115.48","114.19","4.43M","-0.02%"
"Jun 11, 2021","115.42","116.24","116.36","114.87","4.47M","-0.71%"
"Jun 10, 2021","116.24","114.36","116.99","114.15","6.26M","1.96%"
"Jun 09, 2021","114.00","112.88","114.42","112.74","4.88M","1.48%"
"Jun 08, 2021","112.34","112.68","113.09","111.82","4.11M","-0.59%"
"Jun 07, 2021","113.01","112.71","114.11","112.33","5.57M","0.58%"
"Jun 04, 2021","112.36","112.40","113.11","112.16","4.26M","0.13%"
"Jun 03, 2021","112.21","111.12","112.41","110.65","6.29M","0.73%"
"Jun 02, 2021","111.40","112.41","112.66","110.85","8.10M","-0.72%"
"Jun 01, 2021","112.21","113.70","113.99","112.04","6.85M","-0.87%"
"May 28, 2021","113.20","113.33","114.48","112.86","7.10M","0.78%"
"May 27, 2021","112.32","115.12","115.20","112.02","26.41M","-2.07%"
"May 26, 2021","114.70","114.53","114.74","113.76","5.80M","0.12%"
"May 25, 2021","114.56","115.97","116.00","114.19","6.57M","-1.16%"
"May 24, 2021","115.91","116.59","116.81","115.59","4.81M","-0.18%"
"May 21, 2021","116.12","117.52","118.28","116.06","5.58M","-0.85%"
"May 20, 2021","117.11","115.34","117.34","115.12","5.53M","1.09%"
"May 19, 2021","115.85","116.46","116.50","114.38","6.43M","-1.16%"
"May 18, 2021","117.21","116.11","117.90","115.32","8.17M","0.27%"
"May 17, 2021","116.89","116.77","117.70","116.56","6.18M","0.40%"
"May 14, 2021","116.43","117.36","117.59","116.38","6.27M","-0.15%"
"May 13, 2021","116.60","115.55","117.20","115.01","6.56M","1.43%"
"May 12, 2021","114.96","114.85","116.00","114.44","6.21M","0.06%"
"May 11, 2021","114.89","115.48","116.57","114.38","5.78M","-1.14%"
"May 10, 2021","116.22","116.38","117.20","115.97","7.09M","0.41%"
"May 07, 2021","115.75","116.38","116.93","114.96","6.81M","-0.28%"
"May 06, 2021","116.08","115.00","116.18","114.16","5.80M","0.26%"
"May 05, 2021","115.78","114.31","116.28","113.95","7.02M","1.65%"
"May 04, 2021","113.90","114.62","115.94","113.05","8.15M","-0.68%"
"May 03, 2021","114.68","112.40","115.10","111.59","9.14M","2.85%"
